group,oviposition_starts,oviposition_ends,date checked,larvae
A,2023-03-06,2023-03-13,2023-04-03,1
B,2023-03-06,2023-03-13,2023-04-03,12
C,2023-03-06,2023-03-13,2023-04-03,6
D,2023-03-06,2023-03-13,2023-04-03,1
A,2023-03-13,2023-03-20,2023-04-10,4
B,2023-03-13,2023-03-20,2023-04-10,5
C,2023-03-13,2023-03-20,2023-04-10,7
D,2023-03-13,2023-03-20,2023-04-10,1
A,2023-03-20,2023-03-27,2023-04-17,5
B,2023-03-20,2023-03-27,2023-04-17,7
C,2023-03-20,2023-03-27,2023-04-17,4
D,2023-03-20,2023-03-27,2023-04-17,10
A,2023-03-27,2023-04-03,2023-04-24,12
B,2023-03-27,2023-04-03,2023-04-24,3
C,2023-03-27,2023-04-03,2023-04-24,0
D,2023-03-27,2023-04-03,2023-04-24,2
